Wells,min.abs,clot.time,clot.abs,max.abs,delta.abs,max.time,lys.time,lys.abs,clotTolys.time,end.time,startPoint,pointmax,decayPoint,endPoint
F5,0.042,24.9618,0.409,0.776,0.734,330,632.0548,0.409,607.093,990,2,12,22,34
F6,0.042,24.5149,0.4155,0.789,0.747,330,602.0886,0.4155,577.5737,900,2,12,21,31
F9,0.042,29.8966,0.4115,0.781,0.739,330,616.3125,0.4115,586.4159,960,2,12,22,33
F10,0.042,32.2642,0.43,0.818,0.776,330,635.0602,0.43,602.796,1020,2,12,22,35
G5,0.042,23.0952,0.416,0.79,0.748,390,913.2203,0.416,890.1251,1290,2,14,31,44
G6,0.042,23.1818,0.423,0.804,0.762,390,869.0909,0.423,845.9091,1200,2,14,30,41
G9,0.042,26.3636,0.39,0.738,0.696,390,855.4545,0.39,829.0909,1080,2,14,30,37
G10,0.042,32.6471,0.431,0.82,0.778,450,931.3043,0.431,898.6572,1200,2,16,32,41
H5,0.042,24.5238,0.425,0.808,0.766,540,1338.3673,0.425,1313.8435,1710,2,19,46,58
H6,0.042,25.7778,0.426,0.81,0.768,510,1270.7143,0.426,1244.9365,1590,2,18,43,54
H9,0.042,30.9375,0.431,0.82,0.778,540,1297.3684,0.431,1266.4309,1590,2,19,44,54
H10,0.042,29.8266,0.444,0.846,0.804,510,1290,0.444,1260.1734,1680,2,18,44,57
