"Time_s","F5","F6","F9","F10","G5","G6","G9","G10","H5","H6","H9","H10"
0,0.3,0.306,0.267,0.252,0.319,0.321,0.274,0.258,0.322,0.31,0.282,0.272
30,0.431,0.44,0.412,0.422,0.445,0.453,0.406,0.422,0.448,0.445,0.428,0.445
60,0.522,0.533,0.508,0.528,0.532,0.543,0.493,0.524,0.536,0.536,0.524,0.552
90,0.59,0.602,0.58,0.606,0.598,0.61,0.558,0.598,0.601,0.602,0.594,0.627
120,0.642,0.656,0.635,0.664,0.648,0.662,0.607,0.655,0.65,0.653,0.647,0.683
150,0.683,0.697,0.678,0.71,0.686,0.701,0.644,0.698,0.688,0.692,0.688,0.725
180,0.715,0.729,0.711,0.745,0.716,0.731,0.672,0.732,0.717,0.721,0.72,0.757
210,0.738,0.752,0.737,0.771,0.738,0.753,0.694,0.758,0.738,0.744,0.745,0.781
240,0.756,0.77,0.755,0.791,0.754,0.77,0.709,0.776,0.757,0.762,0.764,0.799
270,0.768,0.781,0.768,0.805,0.767,0.782,0.72,0.791,0.77,0.775,0.779,0.813
300,0.775,0.788,0.776,0.814,0.777,0.791,0.727,0.801,0.78,0.786,0.79,0.823
330,0.776,0.789,0.781,0.818,0.783,0.797,0.733,0.809,0.788,0.793,0.798,0.83
360,0.772,0.784,0.78,0.818,0.788,0.801,0.737,0.814,0.794,0.798,0.804,0.836
390,0.762,0.774,0.774,0.814,0.79,0.804,0.738,0.818,0.798,0.802,0.809,0.84
420,0.746,0.754,0.761,0.804,0.79,0.804,0.738,0.819,0.801,0.805,0.813,0.842
450,0.724,0.727,0.739,0.785,0.789,0.804,0.738,0.82,0.804,0.808,0.816,0.844
480,0.692,0.687,0.706,0.757,0.786,0.802,0.736,0.82,0.806,0.809,0.818,0.845
510,0.652,0.634,0.66,0.716,0.782,0.798,0.734,0.82,0.807,0.81,0.818,0.846
540,0.605,0.571,0.602,0.665,0.777,0.793,0.729,0.817,0.808,0.81,0.82,0.846
570,0.548,0.499,0.532,0.6,0.769,0.785,0.722,0.813,0.808,0.81,0.82,0.846
600,0.483,0.421,0.455,0.525,0.76,0.775,0.712,0.808,0.808,0.81,0.82,0.845
630,0.414,0.342,0.375,0.444,0.748,0.761,0.7,0.8,0.807,0.809,0.82,0.844
660,0.341,0.266,0.296,0.361,0.734,0.742,0.682,0.79,0.806,0.808,0.819,0.843
690,0.271,0.194,0.223,0.28,0.716,0.718,0.658,0.776,0.805,0.806,0.818,0.842
720,0.204,0.13,0.154,0.204,0.692,0.687,0.627,0.757,0.803,0.804,0.817,0.84
750,0.144,0.081,0.094,0.133,0.665,0.648,0.588,0.733,0.802,0.802,0.816,0.838
780,0.119,0.054,0.072,0.076,0.632,0.602,0.54,0.701,0.799,0.799,0.814,0.836
810,0.104,0.058,0.048,0.044,0.594,0.547,0.485,0.663,0.796,0.796,0.812,0.832
840,0.065,0.072,0.044,0.05,0.549,0.487,0.424,0.617,0.792,0.791,0.808,0.828
870,0.084,0.043,0.05,0.05,0.498,0.421,0.358,0.562,0.787,0.785,0.804,0.823
900,0.044,0.041,0.045,0.072,0.442,0.353,0.293,0.5,0.782,0.779,0.8,0.816
930,0.052,0.042,0.044,0.06,0.383,0.286,0.232,0.434,0.775,0.77,0.793,0.809
960,0.043,0.042,0.04,0.05,0.326,0.225,0.176,0.365,0.767,0.76,0.784,0.8
990,0.04,0.041,0.04,0.044,0.263,0.171,0.124,0.297,0.757,0.747,0.774,0.787
1020,0.041,0.041,0.04,0.042,0.206,0.126,0.096,0.234,0.746,0.732,0.761,0.773
1050,0.042,0.041,0.04,0.041,0.156,0.127,0.066,0.175,0.733,0.713,0.745,0.755
1080,0.043,0.041,0.04,0.04,0.112,0.101,0.042,0.116,0.716,0.69,0.725,0.734
1110,0.043,0.041,0.044,0.04,0.071,0.055,0.042,0.092,0.696,0.663,0.7,0.709
1140,0.043,0.041,0.043,0.04,0.05,0.044,0.043,0.063,0.674,0.63,0.671,0.678
1170,0.043,0.041,0.041,0.04,0.052,0.055,0.042,0.054,0.647,0.592,0.637,0.643
1200,0.042,0.041,0.041,0.04,0.052,0.039,0.04,0.042,0.617,0.549,0.596,0.601
1230,0.042,0.041,0.04,0.04,0.055,0.049,0.04,0.043,0.583,0.5,0.55,0.553
1260,0.042,0.041,0.04,0.04,0.045,0.05,0.04,0.044,0.544,0.446,0.5,0.501
1290,0.042,0.041,0.04,0.04,0.041,0.044,0.042,0.041,0.501,0.39,0.445,0.444
1320,0.041,0.041,0.04,0.04,0.04,0.05,0.04,0.041,0.455,0.332,0.388,0.384
1350,0.041,0.041,0.04,0.04,0.04,0.048,0.04,0.041,0.406,0.275,0.331,0.322
1380,0.04,0.041,0.04,0.041,0.04,0.039,0.04,0.04,0.356,0.221,0.275,0.263
1410,0.04,0.041,0.04,0.041,0.04,0.04,0.04,0.04,0.307,0.172,0.22,0.21
1440,0.04,0.041,0.04,0.041,0.053,0.041,0.04,0.041,0.261,0.131,0.169,0.16
1470,0.04,0.041,0.04,0.041,0.043,0.043,0.04,0.041,0.216,0.096,0.127,0.113
1500,0.04,0.041,0.04,0.041,0.04,0.04,0.04,0.042,0.179,0.066,0.078,0.083
1530,0.04,0.041,0.04,0.041,0.039,0.039,0.04,0.043,0.132,0.047,0.052,0.057
1560,0.04,0.04,0.04,0.041,0.039,0.039,0.04,0.044,0.077,0.043,0.05,0.049
1590,0.04,0.041,0.04,0.041,0.039,0.039,0.04,0.045,0.055,0.041,0.042,0.051
1620,0.039,0.04,0.04,0.041,0.039,0.039,0.039,0.046,0.051,0.042,0.04,0.045
1650,0.04,0.04,0.04,0.042,0.039,0.039,0.039,0.047,0.049,0.05,0.041,0.043
1680,0.039,0.04,0.04,0.042,0.039,0.041,0.039,0.048,0.043,0.041,0.044,0.041
1710,0.039,0.04,0.04,0.042,0.039,0.041,0.039,0.048,0.042,0.04,0.042,0.046
1740,0.039,0.04,0.04,0.042,0.039,0.039,0.039,0.048,0.044,0.04,0.04,0.045
1770,0.039,0.04,0.04,0.042,0.039,0.039,0.039,0.048,0.048,0.04,0.04,0.043
1800,0.04,0.04,0.04,0.042,0.039,0.039,0.039,0.048,0.048,0.039,0.04,0.04
1830,0.04,0.04,0.04,0.041,0.039,0.039,0.039,0.048,0.042,0.039,0.04,0.04
1860,0.039,0.04,0.04,0.041,0.039,0.039,0.039,0.048,0.044,0.039,0.043,0.04
1890,0.039,0.04,0.039,0.041,0.039,0.038,0.039,0.047,0.046,0.039,0.045,0.041
1920,0.039,0.04,0.039,0.041,0.039,0.038,0.039,0.047,0.05,0.04,0.045,0.052
1950,0.039,0.04,0.04,0.04,0.039,0.038,0.039,0.046,0.05,0.04,0.045,0.064
1980,0.04,0.041,0.04,0.04,0.039,0.039,0.039,0.046,0.048,0.041,0.045,0.057
2010,0.039,0.04,0.04,0.04,0.039,0.039,0.039,0.045,0.045,0.041,0.046,0.049
2040,0.039,0.04,0.04,0.04,0.039,0.039,0.039,0.045,0.042,0.042,0.046,0.044
2070,0.039,0.04,0.04,0.04,0.039,0.039,0.039,0.045,0.042,0.042,0.046,0.05
2100,0.039,0.04,0.041,0.04,0.039,0.039,0.039,0.045,0.042,0.042,0.046,0.056
2130,0.039,0.04,0.04,0.04,0.039,0.039,0.039,0.044,0.042,0.043,0.046,0.056
2160,0.039,0.041,0.041,0.041,0.039,0.039,0.039,0.044,0.042,0.042,0.046,0.045
2190,0.039,0.04,0.04,0.041,0.039,0.039,0.039,0.044,0.042,0.041,0.046,0.053
2220,0.039,0.04,0.04,0.041,0.039,0.039,0.039,0.044,0.042,0.041,0.046,0.055
